"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\raja2\Crime-Diaries\backend\src\utils\helpers.js", "JavaScript", 0, 68, 0, 0, 0, 9, 77
"c:\Users\raja2\Crime-Diaries\backend\src\utils\logger.js", "JavaScript", 0, 33, 0, 0, 0, 5, 38
"c:\Users\raja2\Crime-Diaries\backend\src\utils\s3.js", "JavaScript", 0, 56, 0, 0, 0, 10, 66
"c:\Users\raja2\Crime-Diaries\backend\temp-imports\report-0db818ed-690a-478c-a9f7-eb4429e8cbc8.json", "JSON", 0, 0, 35, 0, 0, 0, 35
"c:\Users\raja2\Crime-Diaries\backend\temp-imports\report-9656c17e-d0ff-41f5-a50d-e0ea3efa2771.json", "JSON", 0, 0, 35, 0, 0, 0, 35
"c:\Users\raja2\Crime-Diaries\backend\temp-imports\report-c677ed83-31d5-41c5-9028-6f8f528595f4.json", "JSON", 0, 0, 35, 0, 0, 0, 35
"c:\Users\raja2\Crime-Diaries\backend\temp-imports\report-e686dd2a-a716-4160-aeab-8143ae4584e0.json", "JSON", 0, 0, 143078, 0, 0, 0, 143078
"c:\Users\raja2\Crime-Diaries\backend\tests\01-health.node.test.js", "JavaScript", 0, 10, 0, 0, 0, 2, 12
"c:\Users\raja2\Crime-Diaries\backend\tests\02-404.node.test.js", "JavaScript", 0, 10, 0, 0, 0, 2, 12
"Total", "-", 438, 28126, 153086, 636, 1725, 3314, 187325
